verdaccio  | 2025-04-29T16:22:23.796309948Z 2025-04-29T16:22:23.794Z verdaccio:config:parse parse config file /verdaccio/conf/config.yaml
verdaccio  | 2025-04-29T16:22:23.796864340Z 2025-04-29T16:22:23.796Z verdaccio:config:config-utils check file exist /verdaccio/conf/config.yaml
verdaccio  | 2025-04-29T16:22:23.797005065Z 2025-04-29T16:22:23.796Z verdaccio:config:config-utils file exist true
verdaccio  | 2025-04-29T16:22:23.797453360Z 2025-04-29T16:22:23.797Z verdaccio:config:parse parsing config file: '/verdaccio/conf/config.yaml'
verdaccio  | 2025-04-29T16:22:23.803750183Z 2025-04-29T16:22:23.803Z verdaccio:logger logging stdout enabled
verdaccio  | 2025-04-29T16:22:23.804835642Z 2025-04-29T16:22:23.804Z verdaccio:logger setup logger
verdaccio  | 2025-04-29T16:22:23.804927738Z 2025-04-29T16:22:23.804Z verdaccio:logger has prettifier? true
verdaccio  | 2025-04-29T16:22:23.815710834Z 2025-04-29T16:22:23.814Z verdaccio:config config path: /verdaccio/conf/config.yaml
verdaccio  | 2025-04-29T16:22:23.817243292Z 2025-04-29T16:22:23.816Z verdaccio:config set default user agent
verdaccio  | 2025-04-29T16:22:23.819098591Z 2025-04-29T16:22:23.818Z verdaccio:config:utils package access { access: '$all', publish: '$all', unpublish: '$all', proxy: 'npmjs' } for ** 
verdaccio  | 2025-04-29T16:22:23.821972090Z 2025-04-29T16:22:23.821Z verdaccio:plugin:loader:async 'storage' plugins found: 0
verdaccio  | 2025-04-29T16:22:23.824641744Z 2025-04-29T16:22:23.824Z verdaccio:storage no custom storage found, loading default storage @verdaccio/local-storage
verdaccio  | 2025-04-29T16:22:23.826219501Z 2025-04-29T16:22:23.826Z verdaccio:plugin:local-storage sync database started
verdaccio  | 2025-04-29T16:22:23.827110614Z 2025-04-29T16:22:23.826Z verdaccio:plugin:local-storage sync folder '/tmp' created succeed
verdaccio  | 2025-04-29T16:22:23.832486685Z 2025-04-29T16:22:23.832Z verdaccio:plugin:local-storage sync write succeed
verdaccio  | 2025-04-29T16:22:23.833745714Z 2025-04-29T16:22:23.833Z verdaccio:config checking secret key init
verdaccio  | 2025-04-29T16:22:23.833789448Z 2025-04-29T16:22:23.833Z verdaccio:config generating a new secret key
verdaccio  | 2025-04-29T16:22:23.835004056Z 2025-04-29T16:22:23.833Z verdaccio:config generated a new secret key length 32
verdaccio  | 2025-04-29T16:22:23.835028248Z 2025-04-29T16:22:23.834Z verdaccio:plugin:local-storage sync database started
verdaccio  | 2025-04-29T16:22:23.835031641Z 2025-04-29T16:22:23.834Z verdaccio:plugin:local-storage sync folder '/tmp' created succeed
verdaccio  | 2025-04-29T16:22:23.835517513Z 2025-04-29T16:22:23.835Z verdaccio:plugin:local-storage sync write succeed
verdaccio  | 2025-04-29T16:22:23.836237798Z 2025-04-29T16:22:23.835Z verdaccio:storage initialization completed
verdaccio  | 2025-04-29T16:22:23.838174017Z 2025-04-29T16:22:23.838Z verdaccio:plugin:loader:async 'authentication' plugins found: 0
verdaccio  | 2025-04-29T16:22:23.838400701Z 2025-04-29T16:22:23.838Z verdaccio:auth auth plugins found 0
verdaccio  | 2025-04-29T16:22:23.838988471Z 2025-04-29T16:22:23.838Z verdaccio:auth load default auth plugin
verdaccio  | 2025-04-29T16:22:23.840161375Z 2025-04-29T16:22:23.839Z verdaccio:plugin:htpasswd password hash algorithm: bcrypt
verdaccio  | 2025-04-29T16:22:23.840189677Z 2025-04-29T16:22:23.839Z verdaccio:plugin:htpasswd file: ./htpasswd
verdaccio  | 2025-04-29T16:22:23.840194611Z 2025-04-29T16:22:23.839Z verdaccio:plugin:htpasswd config path: /verdaccio/conf/config.yaml
verdaccio  | 2025-04-29T16:22:23.840213085Z 2025-04-29T16:22:23.839Z verdaccio:plugin:htpasswd htpasswd path: /verdaccio/conf/htpasswd
verdaccio  | 2025-04-29T16:22:23.850070923Z 2025-04-29T16:22:23.849Z verdaccio:search:indexer reindexing search indexer
verdaccio  | 2025-04-29T16:22:23.852334449Z 2025-04-29T16:22:23.851Z verdaccio:search:indexer no packages to index
verdaccio  | 2025-04-29T16:22:23.852376704Z 2025-04-29T16:22:23.852Z verdaccio:search:indexer reindexed search indexer
verdaccio  | 2025-04-29T16:22:23.852381727Z 2025-04-29T16:22:23.852Z verdaccio:plugin:local-storage get full list of packages (0) has been fetched
verdaccio  | 2025-04-29T16:22:23.856571602Z 2025-04-29T16:22:23.856Z verdaccio:plugin:loader:async >>> looking for plugin 'audit'
verdaccio  | 2025-04-29T16:22:23.856606813Z 2025-04-29T16:22:23.856Z verdaccio:plugin:loader:async is scoped plugin: false
verdaccio  | 2025-04-29T16:22:23.856612253Z 2025-04-29T16:22:23.856Z verdaccio:plugin:loader:async plugin package name verdaccio-audit
verdaccio  | 2025-04-29T16:22:23.857073355Z 2025-04-29T16:22:23.856Z verdaccio:plugin:loader:utils loading plugin verdaccio-audit
verdaccio  | 2025-04-29T16:22:23.886446862Z 2025-04-29T16:22:23.886Z verdaccio:plugin:loader:async >>> plugin merge config enabled
verdaccio  | 2025-04-29T16:22:23.887457823Z 2025-04-29T16:22:23.887Z verdaccio:plugin:loader:async plugin is ES6
verdaccio  | 2025-04-29T16:22:23.887668393Z 2025-04-29T16:22:23.887Z verdaccio:plugin:loader:async >>> plugin is running and passed sanity check
verdaccio  | 2025-04-29T16:22:23.887956972Z 2025-04-29T16:22:23.887Z verdaccio:plugin:loader:async 'middleware' plugins found: 1
verdaccio  | 2025-04-29T16:22:23.889450038Z 2025-04-29T16:22:23.889Z verdaccio:auth jwt middleware
verdaccio  | 2025-04-29T16:22:23.900139140Z 2025-04-29T16:22:23.899Z verdaccio:auth jwt middleware
verdaccio  | 2025-04-29T16:22:23.900812953Z 2025-04-29T16:22:23.900Z verdaccio:web:render static path '/usr/local/lib/node_modules/verdaccio/node_modules/@verdaccio/ui-theme/static'
verdaccio  | 2025-04-29T16:22:23.902195170Z 2025-04-29T16:22:23.901Z verdaccio:auth jwt middleware
verdaccio  | 2025-04-29T16:22:23.916207463Z (node:8) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
verdaccio  | 2025-04-29T16:22:23.916315789Z (Use `node --trace-deprecation ...` to show where the warning was created)
verdaccio  | 2025-04-29T16:22:23.991069191Z info --- config file  - /verdaccio/conf/config.yaml
verdaccio  | 2025-04-29T16:22:23.993004278Z info --- plugin @verdaccio/local-storage successfully loaded (storage)
verdaccio  | 2025-04-29T16:22:23.993123666Z info --- using htpasswd file: /verdaccio/conf/htpasswd
verdaccio  | 2025-04-29T16:22:23.993134184Z info --- plugin verdaccio-htpasswd successfully loaded (authentication)
verdaccio  | 2025-04-29T16:22:23.993136692Z info --- plugin verdaccio-audit successfully loaded (middleware)
verdaccio  | 2025-04-29T16:22:23.993427226Z info --- plugin @verdaccio/ui-theme successfully loaded (theme)
verdaccio  | 2025-04-29T16:22:23.993460408Z warn --- http address - http://0.0.0.0:5010/ - verdaccio/6.1.2


verdaccio  | 2025-04-29T16:22:39.292143280Z 2025-04-29T16:22:39.291Z verdaccio:middleware:error error report middleware start
verdaccio  | 2025-04-29T16:22:39.292231772Z 2025-04-29T16:22:39.292Z verdaccio:middleware:error error report middleware end (skip next layer) next()
verdaccio  | 2025-04-29T16:22:39.294181125Z 2025-04-29T16:22:39.293Z verdaccio:auth api middleware using JWT auth token
verdaccio  | 2025-04-29T16:22:39.294924184Z 2025-04-29T16:22:39.294Z verdaccio:auth handle JWT api middleware
verdaccio  | 2025-04-29T16:22:39.294967901Z 2025-04-29T16:22:39.294Z verdaccio:auth handle jwt token
